source_attraction,src_lat,src_lon,dest_attraction,dest_lat,dest_lon,counter,source_id,dest_id
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Naturmuseum Südtirol,46.50126988074469,11.357366365592457,10,64,77
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Schloss Runkelstein,46.5174693,11.3590378,4,64,89
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,23,64,102
Museion - Museum für Moderne und Zeitgenössische Kunst,46.7155381,11.6526263,Plose,46.6980157,11.6826829,4,64,114
Museum de Gherdeina,46.57392479999999,11.674645337460838,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,2,65,7
Museum de Gherdeina,46.57392479999999,11.674645337460838,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,2,65,13
Museum de Gherdeina,46.57392479999999,11.674645337460838,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,65,102
Museum im Weißen Turm,46.7163815,11.65758612222222,Acquarena,46.7192275,11.6572294,14,66,1
Museum im Weißen Turm,46.7163815,11.65758612222222,Augustiner Chorherrenstift Neustift,46.74094275,11.651894043399755,6,66,7
Museum im Weißen Turm,46.7163815,11.65758612222222,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,12,66,13
Museum im Weißen Turm,46.7163815,11.65758612222222,Festung Franzensfeste,46.7940346,11.6070764,6,66,23
Museum im Weißen Turm,46.7163815,11.65758612222222,Pfannenspitze,46.69132214861144,11.745305323526795,5,66,43
Museum im Weißen Turm,46.7163815,11.65758612222222,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,2,66,55
Museum im Weißen Turm,46.7163815,11.65758612222222,Pharmaziemuseum Brixen,46.7166139,11.6582709,5,66,83
Museum im Weißen Turm,46.7163815,11.65758612222222,Schloss Velthurns,46.6700207,11.6000965,2,66,90
Museum im Weißen Turm,46.7163815,11.65758612222222,Stadtmuseum Klausen,46.63898403984187,11.564138294430485,1,66,100
Museum im Weißen Turm,46.7163815,11.65758612222222,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,2,66,102
Museum im Weißen Turm,46.7163815,11.65758612222222,Plose,46.6980157,11.6826829,17,66,114
Museum im Weißen Turm,46.7163815,11.65758612222222,Tourism_Agency_Events,46.7148875,11.6547867,1,66,116
Museum Ladin Ciastel de Tor,46.680704038748,11.892846537309122,Museum de Gherdeina,46.57392479999999,11.674645337460838,38,68,65
Museum Ladin Ursus ladinicus,46.57079876483519,11.932309027512385,Acquarena,46.7192275,11.6572294,2,69,1
Museum LUMEN,46.740515,11.959224,Acquarena,46.7192275,11.6572294,3,70,1
Museum LUMEN,46.740515,11.959224,Messner Mountain Museum Corones,46.7387791,11.9583111,15,70,54
Museum LUMEN,46.740515,11.959224,Messner Mountain Museum Ripa,46.794161,11.9399044,4,70,58
Museum LUMEN,46.740515,11.959224,Museum Ladin Ciastel de Tor,46.680704038748,11.892846537309122,2,70,68
Museum LUMEN,46.740515,11.959224,Plose,46.6980157,11.6826829,2,70,114
Museum Passeier - Andreas Hofer,46.801516229565436,11.238736190458482,Diözesanmuseum Hofburg Brixen,46.7147023,11.6556498,2,72,13
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Acquarena,46.7192275,11.6572294,15,77,1
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Messner Mountain Museum Firmian,46.47830620000001,11.3017389,3,77,55
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Messner Mountain Museum Ripa,46.794161,11.9399044,2,77,58
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Pharmaziemuseum Brixen,46.7166139,11.6582709,1,77,83
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Schloss Rodenegg,46.7821085,11.686005499999998,1,77,88
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Schloss Runkelstein,46.5174693,11.3590378,2,77,89
Naturmuseum Südtirol,46.50126988074469,11.357366365592457,Südtiroler Archäologiemuseum,46.49979545,11.349554272866651,55,77,102
