name,id,lat,long,type,tags,rank,mostSimilar,top3InTransitions,top3OutTransitions,outTransFrequency
Merkantilmuseum,53,46.499744352611884,11.35430918518226,Museum,"['cultural and religious institutions', 'indoor']",45.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Domschatzkammer Bozen', 'Acquarena', 'Nesselbahn']","['Südtiroler Obstbaumuseum', 'Schloss Rodenegg', 'Museion - Museum für Moderne und Zeitgenössische Kunst']",28
Messner Mountain Museum Corones,54,46.7387791,11.9583111,Museum,"['events', 'cultural and religious institutions', 'tourism paths, trails and roads', 'indoor', 'outdoor']",14.0,"['Rohrerhaus', 'Jaufenburg', 'Messner Mountain Museum Ortles']","['Museum LUMEN', 'Augustiner Chorherrenstift Neustift', 'Acquarena']","['Museum LUMEN', 'Messner Mountain Museum Ripa', 'Acquarena']",183
Messner Mountain Museum Firmian,55,46.478306200000006,11.3017389,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",13.0,"['Museum Ladin Ursus ladinicus', 'Messner Mountain Museum Ortles', 'Schloss Prösels']","['Südtiroler Archäologiemuseum', 'Plose', 'Augustiner Chorherrenstift Neustift']","['Südtiroler Archäologiemuseum', 'Acquarena', 'Südtiroler Weinmuseum']",62
Messner Mountain Museum Juval,56,46.651626799999995,10.9680134,Museum,"['events', 'cultural and religious institutions', 'tourism paths, trails and roads', 'indoor', 'outdoor']",41.0,"['Rohrerhaus', 'Jaufenburg', 'Messner Mountain Museum Ortles']","['Messner Mountain Museum Corones', 'Archeoparc', 'Schloss Runkelstein']","['Tourism_Agency_Events', 'Archeoparc Villanders', 'Tauferer Torturm']",19
Messner Mountain Museum Ortles,57,46.5304693,10.580905699999999,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",59.0,"['Museum Ladin Ursus ladinicus', 'Schloss Prösels', 'Südtiroler Bergbaumuseum Prettau']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Messner Mountain Museum Ripa,58,46.794160999999995,11.939904400000001,Museum,"['events', 'cultural and religious institutions', 'indoor', 'outdoor']",12.0,"['Museum Ladin Ursus ladinicus', 'Messner Mountain Museum Ortles', 'Schloss Prösels']","['Messner Mountain Museum Corones', 'Archeoparc', 'Augustiner Chorherrenstift Neustift']","['Acquarena', 'Südtiroler Burgeninstitut - Burg Taufers', 'Südtiroler Volkskundemuseum']",89
Mineralienmuseum Kirchler,59,46.989450119645895,11.960504287040093,Museum,"['protected natural heritage', 'indoor']",63.0,"['Fremdenverkehrsmuseum Hochpustertal', 'Museum Kloster Marienberg', 'Kuratorium des Stiftes Innichen']","['Südtiroler Burgeninstitut - Burg Taufers', 'Acquarena', 'Nesselbahn']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Mineralienmuseum Teis,60,46.6527149,11.620324400000001,Museum,"['protected natural heritage', 'events', 'indoor']",18.0,"['Erlebniswelt Capriz', 'Lodenwelt', 'Mineralienmuseum Kirchler']","['Acquarena', 'Plose', 'Schloss Velthurns']","['Acquarena', 'Plose', 'Festung Franzensfeste']",93
Minigolf Meransen,61,46.81575540551896,11.658024718458568,Sportstätte,"['sport and recreation facilities', 'outdoor']",99.0,"['Freischwimmbad Feldthurns', 'Freibad Mühlbach', 'Freischwimmbad Klausen']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']","['Acquarena', 'Schwimmbad Alpinpool', 'Schludernser Torturm']",0
Multscher Museum und Stadtmuseum Sterzing,63,46.890834600000005,11.4322722,Museum,"['cultural and religious institutions', 'indoor']",36.0,"['Kuratorium des Stiftes Innichen', 'Schreibmaschinenmuseum ""Peter Mitterhofer""', 'Südtiroler Bergbaumuseum Kornkasten Steinhaus']","['Plose', 'Festung Franzensfeste', 'Südtiroler Archäologiemuseum']","['Acquarena', 'Pharmaziemuseum Brixen', 'Südtiroler Jagd- und Fischereimuseum - Schloss Wolfsthurn']",6
